検証区分,必要環境/前提,機能,区分一,区分二,区分三,正常/異常,実施場所,事前準備,検証の目的(何を確認するか),操作手順,期待される結果(合格条件),自動テスト,担当者名,確認結果,備考
◎ 配布アプリで検証(ブラックボックス),ログイン画面で確認,認証,手動ログイン,デバイス記憶,HTTP時のチェック欄,正常系,クライアントアプリ(ログイン画面),接続が HTTP(http://) の検証環境,HTTP 接続でも『このPCを記憶する』は使えるが 平文の注意が出ることを確認する,"①HTTP 接続でログイン画面を表示
②『このPCを記憶する』チェック欄にマウスを乗せる",チェックは可能で 平文通信の注意ツールチップが表示される,,,,実機/UI
◎ 配布アプリで検証(ブラックボックス),要ログイン(一般ユーザー),認証,自動ログイン,記憶と再ログイン,このPCを記憶して再起動,正常系,クライアントアプリ,HTTPS 接続であること。検証用ユーザーの資格情報,『このPCを記憶する』を使うと 次回から自動ログインされ Credential Manager にトークンが保存されることを確認する,"①ログイン画面で『このPCを記憶する』にチェック
②正しくログイン
③Windows の『資格情報マネージャー』で Watashi/AutoLogin の項目を確認
④アプリを終了し 再起動する",再起動時に入力なしで自動ログインされる。資格情報マネージャーにトークンが保存されている,○,,,自動テストでも担保 AuthServiceTests
◎ 配布アプリで検証(ブラックボックス),要ログイン(一般ユーザー),認証,自動ログイン,トークン照合,保存トークンを壊すと失敗,異常系,クライアントアプリ,上記『記憶と再ログイン』が成功済みであること,保存されたデバイストークンが正しくない場合は 自動ログインに失敗することを確認する,"①Windows の『資格情報マネージャー』を開く
②Watashi/AutoLogin のパスワード(トークン)を適当な値に書き換えて保存
③アプリを再起動する",自動ログインに失敗し 通常のログイン画面になる,○,,,自動テストでも担保 AuthServiceTests
◎ 配布アプリで検証(ブラックボックス),要ログイン(一般ユーザー),認証,自動ログイン,ロック中,記憶済みでもロックなら不可,異常系,クライアントアプリ,『記憶と再ログイン』が成功済みであること。管理者にロックを依頼できること,記憶済み PC でも アカウントがロック中なら自動ログインできないことを確認する,"①管理者に そのユーザーをロックしてもらう
②記憶済み PC でアプリを再起動する",自動ログインされず ロックを示すエラー/ログイン画面になる,○,,,自動テストでも担保 AuthServiceExtraTests
◎ 配布アプリで検証(ブラックボックス),要ログイン(一般ユーザー),認証,自動ログイン,1台制約,新規記憶で旧PCが失効,正常系,クライアントアプリ,同じユーザーでログインできる PC が2台あること(または2つの Windows アカウント),1ユーザーが記憶できる PC は1台で 新しく記憶すると前の PC の自動ログインが無効になることを確認する,"①PC-A で『このPCを記憶する』にチェックしてログイン
②PC-B で同じユーザーで『このPCを記憶する』にチェックしてログイン
③PC-A でアプリを再起動する",PC-A は自動ログインできなくなる(後から記憶した PC-B のみ有効),○,,,自動テストでも担保 AuthServiceTests。2台必要
▲ 専門環境が必要(開発・インフラ),サーバー設定変更+再起動(インフラ),認証,自動ログイン,HTTP制御,HTTP時に許可しない,異常系,中央サーバー(設定ファイル),中央サーバーの設定ファイル(appsettings.json)を編集でき サーバーを再起動できること(開発/インフラ担当向け)。Auth:AllowHttpForAutoLogin を false にしておく,暗号化なし(HTTP)では既定で自動ログインを禁止できることを確認する,"①appsettings.json で Auth:AllowHttpForAutoLogin=false にしてサーバー再起動
②HTTP 接続のクライアントで記憶済み PC として起動",自動ログインがサーバーに拒否され(401) 通常ログイン画面になる,,,,実機/エンドポイント
− 自動テスト(手動不要),—(自動テストで担保),認証,自動ログイン,ID監査,Windowsユーザー不一致の記録,正常系,自動テスト(手動不可),—(手動検証は不要),信頼デバイスの Windows ユーザーと実際の利用者が違う場合 ログインは通すが監査ログに注意記録が残ることを確認する,画面操作では再現が難しい内部動作のため 自動テストで確認しています。手動での確認作業は不要です。,自動テスト(備考のテスト)が成功していること,○,,,自動テストで担保 AuthServiceExtraTests
◎ 配布アプリで検証(ブラックボックス),要ログイン(一般ユーザー),認証,パスワード変更,基本,正しい現PWと準拠した新PW,正常系,クライアントアプリ,ログイン済みで パスワード変更画面を開けること(初回ログイン時は自動で表示),規定を満たす新パスワードに正しく変更でき その後ログインできることを確認する,"①パスワード変更画面を開く
②現在のパスワードを入力
③新しいパスワードに『Watashi2026!Test』を入力
④確認欄に同じ値を入力
⑤「変更」を押す
⑥一度ログアウトし 新パスワードでログイン",変更が成功し 新しいパスワードでログインできる,○,,,自動テストでも担保 AuthServiceTests
◎ 配布アプリで検証(ブラックボックス),要ログイン(一般ユーザー),認証,パスワード変更,基本,現在のパスワードが誤り,異常系,クライアントアプリ,ログイン済みで パスワード変更画面を開けること,現在のパスワードを間違えると変更できないことを確認する,"①パスワード変更画面で現在のパスワードをわざと間違える
②新しいパスワードに規定を満たす値を入力
③「変更」を押す",エラーになり変更されない,○,,,自動テストでも担保 AuthServiceExtraTests
◎ 配布アプリで検証(ブラックボックス),要ログイン(一般ユーザー),認証,パスワード変更,ポリシー,11文字(短すぎ:境界値),異常系,クライアントアプリ,パスワード変更画面を開けること,12文字未満のパスワードは拒否されることを確認する(境界値),"①新しいパスワードに『Aa1!aaaaaaa』(11文字)を入力
②確認欄も同じに
③「変更」を押す",文字数不足で拒否される,○,,,自動テストでも担保 PasswordPolicyTests
◎ 配布アプリで検証(ブラックボックス),要ログイン(一般ユーザー),認証,パスワード変更,ポリシー,12文字4種(最小OK:境界値),正常系,クライアントアプリ,パスワード変更画面を開けること,ちょうど12文字で英大小+数字+記号を含めば受理されることを確認する(境界値),"①新しいパスワードに『Admin123!@#X』(12文字)を入力
②確認欄も同じに
③「変更」を押す",受理され変更が成功する,○,,,自動テストでも担保 PasswordPolicyTests
◎ 配布アプリで検証(ブラックボックス),要ログイン(一般ユーザー),認証,パスワード変更,ポリシー,文字種不足(大文字なし),異常系,クライアントアプリ,パスワード変更画面を開けること,英大文字などが欠けると拒否されることを確認する,"①新しいパスワードに『alllowercase!1234567』(大文字なし)を入力
②「変更」を押す",文字種不足で拒否される,○,,,自動テストでも担保 PasswordPolicyTests
◎ 配布アプリで検証(ブラックボックス),要ログイン(一般ユーザー),認証,パスワード変更,ポリシー,日本語を含むパスワード,正常系,クライアントアプリ,パスワード変更画面を開けること,日本語混じりでも条件を満たせば受理されることを確認する,"①新しいパスワードに『こんにちはAa1!XXa』を入力
②確認欄も同じに
③「変更」を押す",受理される,○,,,自動テストでも担保 PasswordPolicyTests
◎ 配布アプリで検証(ブラックボックス),要ログイン(一般ユーザー),認証,パスワード変更,UI,確認欄の不一致,異常系,クライアントアプリ,パスワード変更画面を開けること,新パスワードと確認欄が違うと変更できないことを確認する,"①新しいパスワードと確認欄に わざと異なる値を入力
②「変更」を押す",不一致のエラーが表示され変更されない,,,,実機/UI
▲ 専門環境が必要(開発・インフラ),PowerShellでAPI操作(開発・インフラ),認証,パスワード変更,トークン失効,変更で旧セッション失効,正常系,中央サーバー(PowerShell),中央サーバーが起動済みで PowerShell が使えること。コマンド内の URL は環境に合わせる(開発機は http://127.0.0.1:18080)。検証用ユーザーの資格情報,パスワードを変えると 変更前に発行したログインセッション(リフレッシュトークン)が使えなくなることを 手で確認する,"①PowerShell を開く
②$u='http://127.0.0.1:18080' を設定(本番は実際の URL)
③ログイン: $b=@{username='admin';password='Admin123!@#'}|ConvertTo-Json; $login=Invoke-RestMethod -Method Post -Uri ""$u/api/auth/login"" -ContentType 'application/json' -Body $b
④別の PowerShell かアプリでそのユーザーのパスワードを変更する
⑤手順③で得た古いトークンで更新を試す: $rb=@{refreshTokenId=$login.refreshTokenId;refreshToken=$login.refreshToken}|ConvertTo-Json; Invoke-RestMethod -Method Post -Uri ""$u/api/auth/refresh"" -ContentType 'application/json' -Body $rb",古いトークンでの更新がエラーになる(変更前のセッションは無効化されている),○,,,自動テストでも担保 AuthServiceTests
◎ 配布アプリで検証(ブラックボックス),要ログイン(一般ユーザー),認証,パスワード変更,強制変更,変更必須時は他操作不可,異常系,クライアントアプリ,クライアントアプリに管理者(初期は admin / Admin123!@#)でログインし 画面上部メニューの「管理」を開いていること。検証用に 管理者でユーザーのパスワードをリセットしておく(リセット直後は変更必須になる),パスワード変更が必須の状態では 変更を終えるまでファイル操作など他の機能に進めないことを確認する,"①パスワードをリセットされたユーザーでログインする
②表示されたパスワード変更画面を閉じる/無視してファイル一覧などを操作しようとする",変更を完了するまで他の操作はできない(変更画面に誘導される),○,,,自動テストでも担保 PasswordChangeRequiredMiddlewareTests
◎ 配布アプリで検証(ブラックボックス),ログイン画面で確認,認証,アカウントロック,閾値,14回失敗ではロックされない(境界値),正常系,クライアントアプリ(ログイン画面),規定の失敗回数が15(既定)であること。検証用ユーザー,失敗が規定回数未満ならまだロックされないことを確認する(境界値),"①わざと誤ったパスワードで14回連続ログインを試みる
②15回目に正しいパスワードでログイン",14回目まではロックされず 正しいパスワードでログインできる,○,,,自動テストでも担保 AuthServiceTests
◎ 配布アプリで検証(ブラックボックス),ログイン画面で確認,認証,アカウントロック,閾値,15回目でロック(境界値),異常系,クライアントアプリ(ログイン画面),規定の失敗回数が15(既定)であること。検証用ユーザー,規定回数に達するとロックされ 以後ログインできないことを確認する(境界値),"①わざと誤ったパスワードで15回連続ログインを試みる
②正しいパスワードでログインを試みる",15回目以降ロックされ 正しいパスワードでもログインできない,○,,,自動テストでも担保 AuthServiceTests
◎ 配布アプリで検証(ブラックボックス),要ログイン(管理者タブ),認証,アカウントロック,閾値設定,MaxFailedLoginAttempts=3,正常系,クライアントアプリ(管理画面),クライアントアプリに管理者(初期は admin / Admin123!@#)でログインし 画面上部メニューの「管理」を開いていること。検証用ユーザー,ロックされる回数を管理画面から変更できることを確認する,"①管理>システム設定で MaxFailedLoginAttempts を 3 に変更
②検証用ユーザーで誤パスワードを3回入力",3回目でロックされる,○,,,自動テストでも担保 AuthServiceTests
◎ 配布アプリで検証(ブラックボックス),要ログイン(管理者タブ),認証,アカウントロック,解除,管理画面でロック解除,正常系,クライアントアプリ(管理画面),クライアントアプリに管理者(初期は admin / Admin123!@#)でログインし 画面上部メニューの「管理」を開いていること。ロック済みユーザーがいること,ロックされたユーザーを管理者が解除できることを確認する,"①管理>ユーザーで対象ユーザーを選ぶ
②「ロック解除」を実行
③そのユーザーで正しいパスワードでログイン",解除されログインできるようになる,,,,実機
▲ 専門環境が必要(開発・インフラ),PowerShellでAPI操作(開発・インフラ),認証,レート制限,IP単位,11回/分で制限,異常系,中央サーバー(PowerShell),中央サーバーが起動済みで PowerShell が使えること。コマンド内の URL は環境に合わせる(開発機は http://127.0.0.1:18080),短時間に大量ログインすると一時的に弾かれる(総当たり対策)ことを確認する,"①PowerShell で同じログイン API を1分間に11回以上連続実行する
   例: 1..11 | %% { Invoke-RestMethod -Method Post -Uri ""$u/api/auth/login"" -ContentType 'application/json' -Body (@{username='admin';password='x'}|ConvertTo-Json) }",規定回数を超えた時点で 429(Too Many Requests)が返る,,,,実機/エンドポイント
▲ 専門環境が必要(開発・インフラ),サーバー設定変更+再起動(インフラ),認証,レート制限,設定変更,LoginPerMinutePerIp変更,正常系,中央サーバー(設定ファイル),中央サーバーの設定ファイル(appsettings.json)を編集でき サーバーを再起動できること(開発/インフラ担当向け),制限回数を設定で調整できることを確認する,"①appsettings.json で Auth:LoginPerMinutePerIp を変更しサーバー再起動
②設定値の前後でログインを連続実行",設定した回数で 429 が出始める,,,,実機/エンドポイント
▲ 専門環境が必要(開発・インフラ),PowerShellでAPI操作(開発・インフラ),認証,リフレッシュトークン,更新,有効トークンで更新,正常系,中央サーバー(PowerShell),中央サーバーが起動済みで PowerShell が使えること。コマンド内の URL は環境に合わせる(開発機は http://127.0.0.1:18080)。検証用ユーザーの資格情報,ログイン後のリフレッシュトークンで 新しいアクセストークンを再発行できることを 手で確認する,"①PowerShell を開く
②$u='http://127.0.0.1:18080' を設定(本番は実際の URL)
③ログイン: $b=@{username='admin';password='Admin123!@#'}|ConvertTo-Json; $login=Invoke-RestMethod -Method Post -Uri ""$u/api/auth/login"" -ContentType 'application/json' -Body $b
④更新: $rb=@{refreshTokenId=$login.refreshTokenId;refreshToken=$login.refreshToken}|ConvertTo-Json; $r=Invoke-RestMethod -Method Post -Uri ""$u/api/auth/refresh"" -ContentType 'application/json' -Body $rb
⑤$r.accessToken を表示して中身を見る",新しい accessToken が返ってくる(空でない),○,,,自動テストでも担保 AuthServiceTests
▲ 専門環境が必要(開発・インフラ),PowerShellでAPI操作(開発・インフラ),認証,リフレッシュトークン,ローテーション,更新ごとにトークン回転,正常系,中央サーバー(PowerShell),中央サーバーが起動済みで PowerShell が使えること。コマンド内の URL は環境に合わせる(開発機は http://127.0.0.1:18080)。検証用ユーザーの資格情報,更新のたびにリフレッシュトークンが新しい値に変わる(使い回さない)ことを 手で確認する,"①PowerShell を開く
②$u='http://127.0.0.1:18080' を設定(本番は実際の URL)
③ログイン: $b=@{username='admin';password='Admin123!@#'}|ConvertTo-Json; $login=Invoke-RestMethod -Method Post -Uri ""$u/api/auth/login"" -ContentType 'application/json' -Body $b
④1回更新する(上の『更新』手順④と同じ)
⑤ログイン時の $login.refreshTokenId と 更新後の $r.refreshTokenId を見比べる",更新後の refreshTokenId が ログイン時と異なる(毎回変わる),○,,,自動テストでも担保 AuthServiceExtraTests
▲ 専門環境が必要(開発・インフラ),PowerShellでAPI操作(開発・インフラ),認証,リフレッシュトークン,再利用検知,失効トークンの再提示,異常系,中央サーバー(PowerShell),中央サーバーが起動済みで PowerShell が使えること。コマンド内の URL は環境に合わせる(開発機は http://127.0.0.1:18080)。検証用ユーザーの資格情報,ログアウト等で無効化したトークンを再び使うと拒否される(盗難対策)ことを 手で確認する,"①PowerShell を開く
②$u='http://127.0.0.1:18080' を設定(本番は実際の URL)
③ログイン: $b=@{username='admin';password='Admin123!@#'}|ConvertTo-Json; $login=Invoke-RestMethod -Method Post -Uri ""$u/api/auth/login"" -ContentType 'application/json' -Body $b
④ログアウト: $h=@{Authorization=""Bearer $($login.accessToken)""}; $rb=@{refreshTokenId=$login.refreshTokenId;refreshToken=$login.refreshToken}|ConvertTo-Json; Invoke-RestMethod -Method Post -Uri ""$u/api/auth/logout"" -ContentType 'application/json' -Body $rb -Headers $h
⑤ログアウト済みの同じトークンで更新を試す(上の『更新』手順④を実行)",更新がエラーになる(失効済みトークンの再提示が検知される),○,,,自動テストでも担保 AuthServiceTests
− 自動テスト(手動不要),—(自動テストで担保),認証,リフレッシュトークン,再利用検知,盗用時のファミリー全失効,異常系,自動テスト(手動不可),—(手動検証は不要),古いトークンを再提示すると 関連する全トークンが失効し 盗用の被害を断てることを確認する,画面操作では再現が難しい内部動作のため 自動テストで確認しています。手動での確認作業は不要です。,自動テスト(備考のテスト)が成功していること,○,,,自動テストで担保 AuthServiceExtraTests
− 自動テスト(手動不要),—(自動テストで担保),認証,リフレッシュトークン,有効期限,期限切れトークン,異常系,自動テスト(手動不可),—(手動検証は不要),期限切れトークンでは更新できないことを確認する(期限到来の再現に日数が必要なため自動で担保),画面操作では再現が難しい内部動作のため 自動テストで確認しています。手動での確認作業は不要です。,自動テスト(備考のテスト)が成功していること,○,,,自動テストで担保 AuthServiceExtraTests
− 自動テスト(手動不要),—(自動テストで担保),認証,リフレッシュトークン,不正値,存在しないトークンID,異常系,自動テスト(手動不可),—(手動検証は不要),存在しない ID では更新できないことを確認する,画面操作では再現が難しい内部動作のため 自動テストで確認しています。手動での確認作業は不要です。,自動テスト(備考のテスト)が成功していること,○,,,自動テストで担保 AuthServiceExtraTests
− 自動テスト(手動不要),—(自動テストで担保),認証,リフレッシュトークン,不正値,誤ったトークン値,異常系,自動テスト(手動不可),—(手動検証は不要),ID は合っていても値が違えば更新できないことを確認する,画面操作では再現が難しい内部動作のため 自動テストで確認しています。手動での確認作業は不要です。,自動テスト(備考のテスト)が成功していること,○,,,自動テストで担保 AuthServiceExtraTests
− 自動テスト(手動不要),—(自動テストで担保),認証,リフレッシュトークン,DB状態確認,ロック済みユーザー,異常系,自動テスト(手動不可),—(手動検証は不要),更新のたびにロック状態を確認し ロック中は更新を拒否することを確認する,画面操作では再現が難しい内部動作のため 自動テストで確認しています。手動での確認作業は不要です。,自動テスト(備考のテスト)が成功していること,○,,,自動テストで担保 AuthServiceTests
− 自動テスト(手動不要),—(自動テストで担保),認証,リフレッシュトークン,DB状態確認,PW変更前のトークン,異常系,自動テスト(手動不可),—(手動検証は不要),パスワード変更前に発行されたトークンは更新できないことを確認する,画面操作では再現が難しい内部動作のため 自動テストで確認しています。手動での確認作業は不要です。,自動テスト(備考のテスト)が成功していること,○,,,自動テストで担保 AuthServiceTests
